Dummy_cor;Dummy_sexo;Dummy_EnsSuperior;Dummy_Classe;receita_proc_ln;reeleicao;resultado
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-8,56879711151123;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-6,76505947113037;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,20910453796387;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-8,77035045623779;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-7,49812793731689;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-7,13464307785034;Não;0
Não-branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-7,93534183502197;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-3,15459322929382;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-5,53891420364380;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-8,80437946319580;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,80437946319580;Não;0
Branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-7,13674545288086;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-3,89158916473389;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-6,66264104843140;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-6,91917657852173;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-7,90359306335449;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,11761093139648;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-8,11200237274170;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,68659448623657;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-6,57573127746582;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,64574432373047;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-3,60367131233215;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-7,24957704544067;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-8,80437946319580;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,65936660766602;Não;1
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,01322174072266;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-6,81334924697876;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-4,86658430099487;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-3,66465687751770;Sim;0
Branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-8,80437946319580;Não;0
Branca;Feminino;Sem ensino superior;Classe alta e muito alta;-3,89428234100342;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,90270471572876;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,79528856277466;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,60357999801636;Não;1
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-9,18215465545654;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-6,50037288665771;Não;0
Branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-9,57756996154785;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-8,33197498321533;Não;0
Branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-7,47750902175903;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,53994274139404;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,31768894195557;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-7,29603815078735;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,52000427246094;Não;0
