tx_nome_parlamentar;sg_uf;sg_partido;manutencao_de_escritorio_de_apoio_a_atividade_parlamentar;combustiveis_e_lubrificantes;consultorias_pesquisas_e_trabalhos_tecnicos;divulgacao_da_atividade_parlamentar;passagem_aerea_reembolso;telefonia;servicos_postais;fornecimento_de_alimentacao_do_parlamentar;hospedagem_exceto_do_parlamentar_no_distrito_federal;locacao_ou_fretamento_de_aeronaves;servico_de_taxi_pedagio_e_estacionamento;passagem_aerea_rpa;locacao_ou_fretamento_de_veiculos_automotores;passagem_aerea_sigepa;passagens_terrestres_maritimas_ou_fluviais;servico_de_seguranca_prestado_por_empresa_especializada;assinatura_de_publicacoes;aquisicao_de_tokens_e_certificados_digitais;locacao_ou_fretamento_de_embarcacoes;participacao_em_curso_palestra_ou_evento_similar
Alex Manente;SP;CIDADANIA;29578,14;0,00;0,00;13296,42;0,00;4254,24;587,20;0,00;0,00;0,0;0,00;18367,02;11400,00;57874,42;0,00;0,00;0,00;0,00;0;0
Baleia Rossi;SP;MDB;117311,99;6990,19;0,00;10000,00;0,00;22997,01;13285,06;0,00;0,00;0,0;0,00;7571,18;38278,80;50508,44;0,00;1677,60;595,00;0,00;0;0
Eduardo Cury;SP;PSDB;92986,93;40522,44;0,00;4067,66;0,00;11225,33;673,56;3876,51;7159,25;0,0;906,49;39392,28;81900,00;41036,83;0,00;1620,00;1275,53;0,00;0;0
Herculano Passos;SP;REPUBLICANOS;57963,93;60181,28;10500,00;135238,15;3110,83;7448,92;699,07;779,64;4849,35;0,0;7156,21;735,66;34799,67;34530,35;0,00;0,00;0,00;0,00;0;0
Marcio Alvino;SP;PL;0,00;0,00;0,00;0,00;0,00;134,51;0,00;0,00;0,00;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Miguel Haddad;SP;PSDB;15459,91;2650,99;0,00;35500,00;0,00;1167,00;0,00;0,00;0,00;0,0;0,00;0,00;0,00;1780,23;0,00;0,00;0,00;0,00;0;0
Miguel Lombardi;SP;PL;19857,96;32198,11;0,00;81210,00;0,00;10741,45;4757,19;0,00;1052,00;0,0;3159,66;30544,47;32385,00;2021,36;0,00;0,00;300,00;0,00;0;0
Nilto Tatto;SP;PT;43164,96;34857,19;9049,39;117897,00;0,00;15742,80;6807,51;1278,15;7904,75;0,0;13225,54;8443,15;6939,74;66540,37;0,00;0,00;0,00;0,00;0;0
Orlando Silva;SP;PCdoB;19482,00;42112,54;90900,00;21000,00;2236,64;6801,08;648,89;0,00;0,00;0,0;2966,11;8785,07;57950,00;75301,66;0,00;0,00;0,00;0,00;0;0
Renata Abreu;SP;PODE;15172,56;27055,95;0,00;86526,44;0,00;4544,00;2422,63;0,00;0,00;0,0;130,40;9120,79;0,00;55102,71;0,00;0,00;0,00;0,00;0;0
Samuel Moreira;SP;PSDB;90289,61;17824,50;0,00;62791,61;0,00;6542,16;455,64;0,00;9786,96;0,0;2526,60;0,00;24150,00;75076,05;0,00;0,00;0,00;0,00;0;0
Vitor Lippi;SP;PSDB;130556,63;55915,01;0,00;67327,65;90,00;4699,47;1033,65;1511,81;18377,54;0,0;7735,27;5796,11;0,00;16408,85;568,24;0,00;1377,53;0,00;0;0
Carlos Henrique Gaguim;TO;UNIÃO;83728,20;45325,36;0,00;57200,00;0,00;14759,22;145,24;0,00;0,00;0,0;0,00;68346,92;92000,00;5162,65;0,00;0,00;0,00;0,00;0;0
Dulce Miranda;TO;MDB;37974,58;32417,99;111000,00;117350,00;1922,67;5364,08;404,95;0,00;5481,61;0,0;0,00;17706,63;11805,06;41249,65;0,00;2708,42;0,00;0,00;0;0
Giovani Feltes;RS;MDB;82601,31;45258,16;14000,00;30955,00;0,00;4637,43;2249,52;2449,18;11581,04;0,0;12,80;17845,45;15220,00;67073,65;0,00;0,00;0,00;0,00;0;0
Moses Rodrigues;CE;UNIÃO;0,00;4543,71;117000,00;60000,00;0,00;5612,03;260,65;0,00;0,00;0,0;0,00;27937,86;0,00;75791,78;0,00;0,00;0,00;0,00;0;0
Marcelo Álvaro Antônio;MG;PL;816,80;11811,34;131100,00;22500,00;0,00;4238,13;913,29;0,00;399,00;0,0;0,00;44794,04;48500,00;20337,11;0,00;0,00;0,00;0,00;0;0
Márcio Biolchi;RS;MDB;14956,01;42215,75;0,00;50181,00;0,00;7445,03;97,59;7893,89;10781,10;0,0;12142,13;86625,60;67380,86;29710,22;0,00;0,00;0,00;0,00;0;0
Vitor Hugo;GO;PL;51950,02;44514,18;0,00;32460,00;0,00;276,89;25747,26;1292,30;5588,89;0,0;638,59;0,00;78400,00;3036,65;79,99;3845,60;0,00;0,00;0;0
Merlong Solano;PI;PT;43911,73;43308,33;24000,00;87083,30;0,00;6390,65;2669,79;1945,96;970,00;0,0;0,00;325,80;64000,00;47319,90;0,00;0,00;0,00;0,00;0;0
Flávio Nogueira;PI;PT;48182,04;3781,93;70000,00;36000,00;0,00;6724,00;362,69;0,00;3578,96;0,0;0,00;355,89;90000,00;49111,82;0,00;86199,64;0,00;0,00;0;0
Paulo Eduardo Martins;PR;PL;6227,00;10693,37;0,00;0,00;0,00;171,50;0,00;0,00;0,00;0,0;0,00;4869,16;0,00;66720,24;0,00;0,00;0,00;0,00;0;0
Nivaldo Albuquerque;AL;REPUBLICANOS;0,00;0,00;290000,00;0,00;0,00;6303,90;211,45;0,00;0,00;0,0;0,00;13035,03;0,00;79877,88;0,00;0,00;0,00;0,00;0;0
Vaidon Oliveira;CE;UNIÃO;16748,61;19265,45;47000,00;26000,00;0,00;1395,25;0,00;0,00;0,00;0,0;0,00;45615,36;55800,00;0,00;0,00;0,00;0,00;0,00;0;0
Lourival Gomes;RJ;PP;16004,81;30472,04;106000,00;54300,00;0,00;2874,32;0,00;116,00;0,00;0,0;174,70;0,00;59300,00;30552,11;0,00;0,00;0,00;0,00;0;0
Tito;BA;AVANTE;1352,56;42806,54;948,00;125800,00;739,25;168,08;401,33;0,00;8444,11;0,0;0,00;0,00;61300,00;35609,13;359,98;0,00;0,00;0,00;0;0
Greyce Elias;MG;AVANTE;28547,30;32956,18;0,00;46343,43;310,00;8447,45;4646,83;0,00;7461,97;0,0;3200,11;3571,80;2201,53;31793,60;4103,51;0,00;0,00;0,00;0;0
Emanuel Pinheiro Neto;MT;MDB;7374,00;38729,39;0,00;35000,00;23405,06;2533,02;153,27;0,00;7264,08;0,0;0,00;103215,42;41393,75;0,00;0,00;0,00;0,00;0,00;0;0
Dr. Luiz Ovando;MS;PP;60618,69;44089,45;0,00;96950,00;0,00;4943,74;1139,97;125,94;5719,00;0,0;594,60;0,00;72300,00;54849,78;0,00;0,00;0,00;0,00;0;0
Camilo Capiberibe;AP;PSB;63574,37;25817,89;30900,00;79365,54;427,90;2079,58;6372,91;0,00;555,36;0,0;743,62;4751,17;64053,95;60386,45;0,00;0,00;0,00;0,00;0;0
Aline Gurgel;AP;REPUBLICANOS;0,00;0,00;193000,00;171400,00;0,00;952,04;51,16;0,00;0,00;0,0;0,00;92,11;0,00;60037,17;0,00;0,00;0,00;0,00;0;0
Flávia Arruda;DF;PL;631,30;14891,73;0,00;0,00;0,00;64,65;0,00;0,00;0,00;0,0;0,00;0,00;75916,46;3420,20;0,00;0,00;0,00;0,00;0;0
Da Vitoria;ES;PP;127895,40;49818,13;0,00;79000,30;2623,23;5262,68;1404,90;0,00;0,00;0,0;0,00;0,00;6800,00;66507,54;0,00;0,00;0,00;0,00;0;0
Amaro Neto;ES;REPUBLICANOS;44640,78;19254,59;36000,00;70000,00;0,00;11,90;215,71;0,00;0,00;0,0;0,00;0,00;0,00;96026,59;0,00;0,00;0,00;0,00;0;0
Rose Modesto;MS;UNIÃO;79713,66;8850,56;0,00;44900,00;51988,69;4610,63;172,90;0,00;0,00;0,0;0,00;0,00;8400,00;0,00;0,00;0,00;0,00;0,00;0;0
Beto Pereira;MS;PSDB;42012,43;73918,36;0,00;71860,00;0,00;9105,70;183,95;0,00;20851,27;0,0;0,00;871,80;69500,00;48228,66;0,00;2892,30;0,00;0,00;0;0
Léo Moraes;RO;PODE;521,10;20410,11;38000,00;73900,00;0,00;1998,91;0,00;0,00;7139,63;0,0;0,00;4517,65;0,00;76025,17;0,00;0,00;0,00;0,00;0;0
Silvia Cristina;RO;PL;30691,68;51012,50;0,00;143320,00;0,00;2570,46;1542,78;327,78;5415,38;0,0;0,00;90963,70;0,00;19099,89;0,00;0,00;0,00;0,00;0;0
Carlos Chiodini;SC;MDB;3600,00;46395,12;0,00;12100,00;0,00;3889,22;343,16;669,04;19722,38;0,0;68,00;0,00;51000,00;121245,78;0,00;0,00;0,00;0,00;0;0
Ricardo Guidi;SC;PSD;39711,49;46073,01;0,00;23920,00;0,00;3451,62;2314,94;4303,36;16059,46;0,0;1113,56;0,00;42278,82;34829,40;0,00;0,00;500,00;0,00;0;0
Osires Damaso;TO;PSC;11720,71;21068,11;165000,00;34850,00;0,00;667,07;34,61;0,00;0,00;0,0;0,00;0,00;0,00;22901,45;0,00;0,00;0,00;0,00;0;0
Eli Borges;TO;PL;35257,04;46566,03;157950,00;68430,00;0,00;1802,96;0,00;41,00;3598,00;0,0;880,54;0,00;74000,00;0,00;3352,65;0,00;0,00;0,00;0;0
Gilson Marques;SC;NOVO;420,25;8153,31;10000,00;5000,00;15614,88;73,15;0,00;0,00;0,00;0,0;1865,51;0,00;0,00;9930,24;0,00;0,00;0,00;0,00;0;0
Rodrigo Coelho;SC;PODE;1500,00;35442,47;5400,00;10500,00;0,00;51,29;0,00;0,00;0,00;0,0;0,00;0,00;0,00;54571,98;0,00;0,00;0,00;0,00;0;0
Daniel Freitas;SC;PL;37247,53;43731,84;0,00;6480,00;0,00;1735,60;0,00;0,00;6681,89;0,0;0,00;0,00;75900,00;125949,04;0,00;0,00;0,00;0,00;0;0
Fabio Schiochet;SC;UNIÃO;6350,00;47640,01;110000,00;2693,60;0,00;6155,16;3779,35;0,00;6135,65;0,0;0,00;2980,79;99700,00;81514,55;0,00;0,00;0,00;0,00;0;0
Caroline de Toni;SC;PL;298,00;15077,25;0,00;12715,96;0,00;1230,48;217,38;0,00;22322,85;0,0;363,61;0,00;20440,00;31049,76;0,00;0,00;0,00;0,00;0;0
Célio Moura;TO;PT;64103,18;58495,13;93500,00;57850,00;6987,62;10734,15;1094,99;3738,96;35251,00;0,0;639,45;0,00;48457,79;55026,44;120,00;0,00;0,00;0,00;0;0
Felipe Rigoni;ES;UNIÃO;78634,36;30530,01;1300,00;19216,29;1540,49;35,48;23373,39;0,00;6706,15;0,0;5794,38;95,00;30823,64;104596,58;113,99;0,00;1344,32;0,00;0;0
Julio Cesar Ribeiro;DF;REPUBLICANOS;719,70;16443,60;129000,00;40300,00;0,00;1981,42;0,00;0,00;0,00;0,0;42,93;0,00;59100,00;9990,30;0,00;0,00;0,00;0,00;0;0
Hélio Costa;SC;PSD;47846,70;58867,54;49000,00;34970,00;0,00;6099,81;16096,67;1147,85;5879,00;0,0;2485,46;0,00;75340,50;70121,15;0,00;0,00;0,00;0,00;0;0
Bia Kicis;DF;PL;85283,29;23719,56;0,00;56000,00;0,00;20,12;328,31;145,00;0,00;0,0;0,00;0,00;40000,00;5696,89;0,00;0,00;0,00;0,00;0;0
Leda Sadala;AP;PP;1369,00;18267,05;33000,00;96600,00;0,00;2304,18;85,53;799,42;1194,10;0,0;15,00;10888,86;22289,75;157702,33;0,00;0,00;0,00;0,00;0;0
Coronel Armando;SC;PL;41198,53;50173,63;0,00;70773,00;12994,48;15,29;1429,30;0,00;10082,97;0,0;0,00;54472,60;1294,72;0,00;340,32;0,00;0,00;0,00;0;0
Coronel Chrisóstomo;RO;PL;36452,49;31705,80;0,00;114500,00;0,00;1138,99;0,00;3578,21;8401,00;0,0;0,00;98748,95;71970,02;0,00;0,00;0,00;0,00;0,00;0;0
Acácio Favacho;AP;MDB;50725,38;7536,90;0,00;90110,00;0,00;2631,07;379,21;0,00;0,00;0,0;0,00;0,00;67500,00;108158,36;0,00;32000,00;0,00;0,00;0;0
Celina Leão;DF;PP;20928,40;17156,95;0,00;48850,00;0,00;215,19;155,03;0,00;0,00;0,0;0,00;0,00;12000,00;2276,83;0,00;0,00;0,00;0,00;0;0
Luis Miranda;DF;REPUBLICANOS;1078,13;14657,25;0,00;33000,00;0,00;70,50;202,06;0,00;0,00;0,0;0,00;5944,29;46077,75;92082,45;0,00;0,00;0,00;0,00;0;0
Loester Trutis;MS;PL;55630,09;28515,23;132000,00;64500,00;9019,96;4197,75;0,00;0,00;4049,00;0,0;0,00;23579,83;66980,00;35988,39;0,00;0,00;0,00;0,00;0;0
Professor Israel Batista;DF;PSB;5740,60;13502,56;59200,00;112400,00;0,00;37,30;0,00;0,00;4462,95;0,0;1006,17;0,00;57119,32;11973,54;0,00;0,00;0,00;0,00;0;0
Ney Leprevost;PR;UNIÃO;3823,56;19150,26;189874,20;0,00;0,00;10,68;835,79;0,00;0,00;0,0;0,00;0,00;0,00;36605,86;0,00;0,00;0,00;0,00;0;0
Valdevan Noventa;SE;PL;1080,00;0,00;0,00;60000,00;0,00;12,10;0,00;0,00;0,00;0,0;0,00;0,00;14800,00;87479,19;0,00;0,00;0,00;0,00;0;0
Jose Mario Schreiner;GO;MDB;57922,25;16048,32;0,00;126000,00;0,00;384,77;3032,82;0,00;551,00;0,0;0,00;0,00;118800,00;0,00;0,00;0,00;0,00;0,00;0;0
Sargento Fahur;PR;PSD;34761,63;43575,83;0,00;0,00;5669,71;4975,71;733,60;5719,80;1273,26;0,0;164,40;53430,10;42194,50;42627,58;0,00;0,00;0,00;0,00;0;0
Bibo Nunes;RS;PL;57150,00;43197,76;0,00;184054,27;12875,69;980,28;2819,46;9733,46;5324,85;0,0;4031,64;72,95;64434,00;54383,00;0,00;0,00;1080,00;0,00;0;0
Elias Vaz;GO;PSB;357,00;13229,86;38160,00;86182,42;1831,73;3220,92;0,00;0,00;1096,00;0,0;1034,69;0,00;19778,00;0,00;0,00;0,00;27,70;0,00;0;0
Professor Alcides;GO;PL;79975,20;59562,26;0,00;75000,00;0,00;1093,48;45,54;0,00;0,00;0,0;0,00;0,00;119900,00;0,00;0,00;0,00;0,00;0,00;0;0
José Nelto;GO;PP;2959,00;30660,61;137500,00;184764,19;0,00;182,71;80,42;0,00;3499,70;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Francisco Jr.;GO;PSD;52480,70;37623,50;110000,00;28000,00;0,00;6632,00;0,00;0,00;1122,80;0,0;0,00;0,00;73770,00;0,00;69,99;0,00;0,00;0,00;0;0
Frei Anastacio Ribeiro;PB;PT;53175,01;38843,13;41000,00;156600,00;0,00;2775,49;0,00;467,28;10150,00;0,0;0,00;85,00;0,00;58281,04;0,00;1980,00;0,00;0,00;0;0
Gervásio Maia;PB;PSB;24679,31;37514,15;32000,00;38010,00;977,90;1960,89;190,93;0,00;6376,77;0,0;9793,87;0,00;61398,67;53669,75;0,00;0,00;0,00;0,00;0;0
Pedro Lupion;PR;PP;10882,30;25904,74;158850,00;16750,00;0,00;1826,67;34,61;0,00;1215,00;0,0;0,00;30415,23;8665,27;52788,53;0,00;0,00;0,00;0,00;0;0
Vermelho;PR;PL;65622,53;39854,94;46000,00;92550,00;0,00;3330,00;399,82;0,00;0,00;0,0;983,00;1807,09;33660,00;72525,02;0,00;0,00;0,00;0,00;0;0
Felipe Francischini;PR;UNIÃO;43048,96;38401,35;24000,00;62600,00;0,00;4499,81;389,90;0,00;10354,52;0,0;93,78;0,00;5930,95;96780,28;0,00;0,00;0,00;0,00;0;0
Aline Sleutjes;PR;PROS;27076,34;45284,04;0,00;72102,24;0,00;31,41;26,80;0,00;17649,43;0,0;0,00;2549,95;1226,53;94492,21;0,00;0,00;0,00;0,00;0;0
Marlon Santos;RS;PL;45496,65;35382,71;63000,00;70585,00;0,00;4903,12;1755,55;0,00;1433,40;0,0;0,00;105547,47;0,00;4576,66;0,00;0,00;0,00;0,00;0;0
Lucas Redecker;RS;PSDB;106228,68;40952,74;0,00;348,78;0,00;5856,70;63,47;0,00;10206,03;0,0;4645,92;10303,87;30978,21;88129,34;80,00;0,00;0,00;0,00;0;0
Liziane Bayer;RS;REPUBLICANOS;145319,28;23469,93;0,00;91895,00;0,00;10094,73;4121,71;965,72;16087,20;0,0;2702,37;41699,51;63926,13;28682,68;370,10;0,00;253,00;0,00;0;0
Pedro Westphalen;RS;PP;83102,50;42472,66;0,00;60750,00;2024,46;5830,63;776,75;708,71;19316,83;0,0;0,00;57920,31;65474,51;34588,97;182,05;0,00;0,00;0,00;0;0
Fernanda Melchionna;RS;PSOL;67595,29;30541,11;4000,00;103152,00;0,00;1595,96;1308,70;167,23;1309,00;0,0;2737,50;6860,26;615,33;73106,48;919,65;0,00;1937,20;0,00;0;0
Gustinho Ribeiro;SE;REPUBLICANOS;0,00;0,00;198000,00;3000,00;0,00;28,04;0,00;0,00;0,00;0,0;0,00;15984,11;0,00;77481,22;0,00;0,00;0,00;0,00;0;0
Daniel Trzeciak;RS;PSDB;61191,49;61824,67;20000,00;0,00;0,00;44,35;0,00;0,00;23654,11;0,0;5049,68;0,00;0,00;48452,81;0,00;0,00;935,40;0,00;0;0
Luisa Canziani;PR;PSD;74549,83;36908,38;28359,00;52928,00;0,00;10497,00;2163,99;0,00;2202,71;0,0;0,00;1651,09;29600,00;46740,41;0,00;0,00;0,00;0,00;0;0
Filipe Barros;PR;PL;67800,26;14964,98;39000,00;21536,00;2687,66;4011,81;6502,76;0,00;23847,73;0,0;2165,69;0,00;26690,04;70532,82;0,00;1140,00;498,40;0,00;0;0
Dr. Zacharias Calil;GO;UNIÃO;40045,99;23925,95;0,00;68100,00;0,00;3835,21;0,00;4922,12;0,00;0,0;1122,97;0,00;86100,00;0,00;0,00;0,00;0,00;0,00;0;0
Alcides Rodrigues;GO;PATRIOTA;80124,61;18787,72;232100,00;0,00;0,00;1099,58;360,61;378,13;6580,00;0,0;1638,86;0,00;0,00;0,00;1766,83;0,00;0,00;0,00;0;0
Aroldo Martins;PR;REPUBLICANOS;41140,25;56367,25;53500,00;43050,00;0,00;1765,62;1789,66;686,49;7167,96;0,0;0,00;0,00;44800,00;50023,58;0,00;0,00;0,00;0,00;0;0
Nereu Crispim;RS;PSD;60644,19;56567,68;24035,00;128767,47;2774,23;13735,92;908,55;331,01;24552,20;0,0;6198,63;768,32;63450,00;33209,57;0,00;5006,64;0,00;0,00;0;0
Sanderson;RS;PL;35473,65;41381,18;88000,00;22295,03;2236,46;4495,51;736,05;0,00;17849,46;0,0;508,00;7650,59;60309,63;85917,79;943,60;0,00;0,00;0,00;0;0
Luizão Goulart;PR;SOLIDARIEDADE;84029,77;50073,07;0,00;67530,00;0,00;3625,23;493,99;1885,73;5815,02;0,0;780,10;269,82;0,00;65398,68;0,00;0,00;0,00;0,00;0;0
Glaustin da Fokus;GO;PSC;63826,07;0,00;15000,00;162670,00;0,00;761,18;0,00;0,00;0,00;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Julian Lemos;PB;UNIÃO;0,00;54196,38;0,00;60000,00;0,00;0,94;0,00;0,00;0,00;0,0;0,00;66,57;0,00;159894,16;0,00;0,00;0,00;0,00;0;0
Edna Henrique;PB;REPUBLICANOS;186,20;8756,33;12000,00;131350,00;1293,35;51,35;83,63;0,00;0,00;0,0;0,00;33,90;55900,00;33929,73;0,00;0,00;0,00;0,00;0;0
Ossesio Silva;PE;REPUBLICANOS;105132,74;24437,71;10000,00;8343,26;0,00;15154,55;1004,47;509,08;11555,76;0,0;0,00;11725,04;97083,33;48515,78;0,00;0,00;0,00;0,00;0;0
André Ferreira;PE;PL;29500,06;48546,93;18000,00;38138,35;3016,79;7974,50;60475,92;508,77;5955,66;0,0;0,00;1504,69;114795,00;63506,58;0,00;0,00;0,00;0,00;0;0
Silvio Costa Filho;PE;REPUBLICANOS;68037,14;61861,09;28500,00;65250,00;0,00;7218,08;445,85;0,00;2728,98;0,0;0,00;5732,05;99310,00;60087,74;0,00;0,00;0,00;0,00;0;0
Carlos Veras;PE;PT;56240,63;48364,29;42000,00;54165,00;0,00;8782,71;2711,63;0,00;16512,75;0,0;474,32;3089,29;69233,00;38981,74;296,50;0,00;0,00;0,00;0;0
Fernando Rodolfo;PE;PL;43571,45;2050,00;69500,00;34000,00;1126,48;90,95;327,71;0,00;520,00;0,0;0,00;0,00;53629,28;90427,93;0,00;0,00;0,00;0,00;0;0
Marília Arraes;PE;SOLIDARIEDADE;38881,67;23278,48;45000,00;63850,00;0,00;15268,34;1756,89;0,00;2458,20;0,0;0,00;0,00;10000,00;74842,99;0,00;0,00;150,00;0,00;0;0
Margarete Coelho;PI;PP;68252,84;36558,78;70000,00;65000,00;0,00;8803,45;2533,71;0,00;3188,00;0,0;0,00;6031,05;0,00;103625,76;0,00;0,00;0,00;0,00;0;0
Marcos Aurélio Sampaio;PI;PSD;16239,03;39290,00;0,00;75000,00;0,00;5,34;0,00;0,00;1390,00;0,0;0,00;0,00;120000,00;54219,15;0,00;0,00;0,00;0,00;0;0
Marina Santos;PI;REPUBLICANOS;91,96;40779,59;70000,00;102800,00;2133,24;65,33;175,55;0,00;0,00;14600,0;0,00;4937,10;45960,18;76636,56;0,00;0,00;0,00;0,00;0;0
Marcelo Calero;RJ;PSD;65707,51;24362,32;0,00;294,00;17552,62;1411,11;0,00;3052,75;4746,76;0,0;5451,25;0,00;43060,56;29913,25;0,00;0,00;0,00;0,00;0;0
Dra. Vanda Milani;AC;PROS;114,00;36942,48;151000,00;102900,00;0,00;2846,85;0,00;36,00;720,00;0,0;0,00;35381,64;0,00;62773,86;0,00;0,00;0,00;0,00;0;0
Jesus Sérgio;AC;PDT;552,30;20154,24;80000,00;131650,00;0,00;6258,81;1549,71;0,00;0,00;12000,0;0,00;2360,99;96000,00;57118,76;0,00;0,00;0,00;0,00;15000;0
Isnaldo Bulhões Jr.;AL;MDB;0,00;47826,57;20000,00;0,00;0,00;286,49;8118,39;0,00;4244,00;0,0;0,00;5356,20;100283,40;129226,76;0,00;0,00;0,00;0,00;0;0
Severino Pessoa;AL;MDB;19200,00;34683,24;42639,80;195400,00;0,00;83,64;4600,86;0,00;0,00;0,0;0,00;0,00;0,00;51262,26;0,00;0,00;0,00;0,00;0;0
Sergio Toledo;AL;PV;59094,90;400,00;0,00;92800,00;0,00;1089,13;0,00;0,00;0,00;0,0;0,00;4944,59;72000,00;39195,08;0,00;0,00;0,00;0,00;0;0
Dr. Leonardo;MT;REPUBLICANOS;52022,91;39530,17;0,00;49070,00;0,00;4553,66;41,61;207,73;14192,21;0,0;180,70;2891,23;95923,12;56091,13;329,13;0,00;0,00;0,00;0;0
Christino Aureo;RJ;PP;56582,54;31166,01;0,00;91552,20;0,00;2848,28;1972,46;1646,28;0,00;0,0;2130,06;6197,19;112200,00;52665,28;0,00;0,00;2494,20;0,00;0;0
Otoni de Paula;RJ;MDB;16582,81;48855,23;16000,00;40000,00;0,00;13287,68;66,27;0,00;0,00;0,0;0,00;2336,00;75000,00;88559,69;0,00;0,00;0,00;0,00;0;0
Gurgel;RJ;PL;29715,83;24316,87;23000,00;56546,83;2435,20;4934,56;0,00;0,00;0,00;0,0;34,24;32875,89;70547,00;47443,29;0,00;0,00;0,00;0,00;0;0
Helio Lopes;RJ;PL;1108,10;15485,89;0,00;96438,00;2487,46;3551,59;504,36;1013,67;1062,41;0,0;0,00;0,00;120304,00;87340,76;0,00;0,00;0,00;0,00;0;0
Professor Joziel;RJ;PATRIOTA;60069,87;20210,71;100000,00;79471,00;4608,74;845,24;0,00;7327,29;3566,38;0,0;236,85;0,00;0,00;46256,92;0,00;0,00;0,00;0,00;0;0
Flordelis;RJ;PSD;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0;0,00;0,00;0,00;-771,00;0,00;0,00;0,00;0,00;0;0
Luiz Antônio Corrêa;RJ;PP;862,10;40163,07;0,00;162800,00;2515,23;10283,74;200,86;3731,25;4825,00;0,0;4331,95;22567,51;49224,27;31000,96;0,00;0,00;2748,83;0,00;0;0
Nelson Barbudo;MT;PL;18383,03;24521,55;30000,00;194500,00;50439,80;1433,97;434,00;0,00;3497,00;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Dr. Luiz Antonio Teixeira Jr.;RJ;PP;435,00;36253,12;0,00;65000,00;0,00;7747,99;908,91;0,00;0,00;0,0;5278,63;0,00;76000,00;63908,81;0,00;4000,00;899,40;0,00;0;0
Delegado Antônio Furtado;RJ;UNIÃO;79066,69;52965,01;0,00;70761,96;0,00;3048,11;323,70;0,00;0,00;0,0;7545,41;0,00;35700,00;31731,12;0,00;1887,77;0,00;0,00;0;0
Márcio Labre;RJ;PL;801,70;0,00;117300,00;70000,00;0,00;3932,18;379,56;0,00;0,00;0,0;0,00;1080,83;16200,00;44984,14;0,00;0,00;0,00;0,00;0;0
Natália Bonavides;RN;PT;61433,45;33163,86;0,00;81469,63;1212,33;4707,49;207,64;0,00;10338,89;0,0;2058,73;465,46;19092,77;113737,31;482,50;0,00;669,64;0,00;0;0
Daniel Silveira;RJ;PTB;48103,03;54598,56;0,00;20600,00;0,00;2291,41;35,10;0,00;624,05;0,0;8723,72;169863,85;1359,70;0,00;1013,16;0,00;0,00;0,00;0;0
Luiz Lima;RJ;PL;74485,15;7239,37;0,00;39592,00;0,00;1847,47;34,61;0,00;0,00;0,0;0,00;48317,20;39900,00;48091,74;0,00;0,00;0,00;0,00;0;0
Gutemberg Reis;RJ;MDB;37637,21;48871,68;0,00;12000,00;0,00;16442,33;267,40;0,00;0,00;0,0;6068,00;3043,97;98340,00;97011,01;0,00;0,00;0,00;0,00;0;0
Juninho do Pneu;RJ;UNIÃO;6496,00;44520,88;0,00;104435,00;0,00;1516,22;1717,44;0,00;0,00;0,0;0,00;17339,19;120000,00;39847,49;0,00;0,00;1995,00;0,00;0;0
Major Fabiana;RJ;PL;13410,58;35369,26;0,00;23100,00;0,00;12,37;43,65;0,00;748,35;0,0;212,08;0,00;77150,00;96011,19;0,00;0,00;0,00;0,00;0;0
Daniela do Waguinho;RJ;UNIÃO;39408,19;2003,34;8000,00;93000,00;0,00;1108,91;389,32;0,00;0,00;0,0;0,00;83398,23;58250,00;19393,64;0,00;0,00;0,00;0,00;0;0
Carlos Jordy;RJ;PL;43020,54;46738,41;0,00;0,00;0,00;2585,01;0,00;0,00;0,00;0,0;206,80;4078,16;40000,00;56673,37;0,00;0,00;0,00;0,00;0;0
Paulo Ganime;RJ;NOVO;174,15;3078,89;0,00;4178,65;454,98;25,05;0,00;0,00;2098,90;0,0;382,24;2575,80;1745,46;23700,13;0,00;0,00;0,00;0,00;0;0
Chris Tonietto;RJ;PL;23993,67;11029,28;0,00;0,00;4345,66;604,75;1734,85;0,00;6400,00;0,0;0,00;3479,72;6678,12;49288,75;554,12;17925,27;0,00;0,00;0;0
Talíria Petrone;RJ;PSOL;76661,19;16618,54;43400,00;7650,00;13305,63;43,45;742,56;0,00;0,00;0,0;6010,96;21787,86;32250,00;53427,94;676,81;0,00;1360,00;0,00;0;0
Haroldo Cathedral;RR;PSD;16445,53;2934,65;0,00;158300,00;0,00;1403,91;0,00;0,00;0,00;0,0;0,00;0,00;0,00;24002,76;0,00;0,00;0,00;0,00;0;0
Tereza Nelma;AL;PSD;74205,43;56219,39;0,00;100505,31;0,00;9620,64;1112,82;0,00;9173,40;0,0;1616,29;12726,99;0,00;63728,75;0,00;35700,00;0,00;0,00;0;0
Professora Rosa Neide;MT;PT;67212,20;44166,73;0,00;120990,00;2867,36;10915,41;1304,61;2449,59;14414,10;0,0;0,00;918,90;43699,00;44088,83;157,69;2442,00;0,00;0,00;0;0
