tx_nome_parlamentar;sg_uf;sg_partido;manutencao_de_escritorio_de_apoio_a_atividade_parlamentar;combustiveis_e_lubrificantes;consultorias_pesquisas_e_trabalhos_tecnicos;divulgacao_da_atividade_parlamentar;passagem_aerea_reembolso;telefonia;servicos_postais;fornecimento_de_alimentacao_do_parlamentar;hospedagem_exceto_do_parlamentar_no_distrito_federal;locacao_ou_fretamento_de_aeronaves;servico_de_taxi_pedagio_e_estacionamento;passagem_aerea_rpa;locacao_ou_fretamento_de_veiculos_automotores;passagem_aerea_sigepa;passagens_terrestres_maritimas_ou_fluviais;servico_de_seguranca_prestado_por_empresa_especializada;assinatura_de_publicacoes;aquisicao_de_tokens_e_certificados_digitais;locacao_ou_fretamento_de_embarcacoes;participacao_em_curso_palestra_ou_evento_similar
Cacá Leão;BA;PP;63194,00;22877,45;70000,00;0,00;0,00;9754,25;317,82;0,00;390,00;0,0;6300,00;2087,89;123020,00;69680,47;0,00;0,00;0,00;0,00;0;0
Lafayette de Andrada;MG;REPUBLICANOS;141735,83;17819,69;0,00;0,00;0,00;15912,06;5547,15;0,00;1767,92;0,0;8496,00;60378,26;116023,52;19516,30;120,65;0,00;0,00;0,00;0;0
Alexandre Figueiredo;SE;PSD;2857,60;11953,92;40000,00;0,00;1544,75;456,35;153,91;0,00;0,00;0,0;0,00;3049,36;44460,00;15999,93;0,00;0,00;0,00;0,00;0;0
Gleisi Hoffmann;PR;PT;106402,50;25679,61;20000,00;176287,91;6601,49;6182,61;4562,80;0,00;8475,35;0,0;0,00;0,00;0,00;0,00;0,00;1187,94;0,00;0,00;0;0
Jaqueline Cassol;RO;PP;24797,08;39207,88;0,00;150420,00;3410,37;3190,02;111,95;0,00;14373,36;0,0;0,00;0,00;15000,00;46431,51;529,06;0,00;0,00;0,00;0;0
Benes Leocádio;RN;UNIÃO;76953,63;40395,57;0,00;39750,00;0,00;2627,69;507,70;0,00;0,00;0,0;0,00;0,00;90400,00;93365,29;0,00;0,00;0,00;0,00;0;0
João Marcelo Souza;MA;MDB;10072,80;26740,33;10000,00;21500,00;1325,70;2977,08;5710,54;450,00;4980,50;0,0;0,00;1798,96;71520,81;21459,95;0,00;42000,00;3179,52;0,00;0;0
Gelson Azevedo;RJ;PL;0,00;23648,14;0,00;93350,00;0,00;1055,07;523,87;0,00;0,00;0,0;370,00;0,00;81900,00;67199,16;0,00;0,00;0,00;0,00;0;0
Darci de Matos;SC;PSD;34987,85;29530,12;46200,00;50250,00;0,00;10314,78;260,17;311,25;299,00;0,0;0,00;0,00;28658,00;59285,02;0,00;0,00;0,00;0,00;0;0
Marcelo Squassoni;SP;REPUBLICANOS;3950,50;831,21;0,00;38850,00;0,00;1794,98;165,93;0,00;0,00;0,0;68,00;0,00;28200,00;64639,82;0,00;0,00;0,00;0,00;0;0
Adriano do Baldy;GO;PP;42421,24;50028,95;0,00;41900,00;0,00;8357,09;616,75;0,00;0,00;0,0;1722,14;0,00;94000,00;0,00;0,00;0,00;0,00;0,00;0;0
Pedro Paulo;RJ;PSD;105076,80;6088,47;0,00;4500,00;4118,66;1197,20;83,70;0,00;0,00;0,0;0,00;4835,06;75900,00;46999,87;0,00;0,00;0,00;0,00;0;0
Leonardo Gadelha;PB;PSC;0,00;4850,66;8000,00;107549,96;0,00;45,98;476,90;0,00;0,00;0,0;0,00;1404,90;40513,38;33165,68;0,00;0,00;0,00;0,00;0;0
Ronaldo Martins;CE;REPUBLICANOS;0,00;5489,31;48855,00;0,00;0,00;630,43;0,00;0,00;0,00;0,0;0,00;0,00;20600,00;3513,30;0,00;0,00;0,00;0,00;0;0
Pedro Lucas Fernandes;MA;UNIÃO;0,00;42508,50;72000,00;60000,00;0,00;12023,43;154,50;0,00;17164,36;0,0;0,00;21634,70;89741,54;42766,13;0,00;0,00;0,00;0,00;0;0
Antônia Lúcia;AC;REPUBLICANOS;0,00;15707,93;30500,00;0,00;0,00;669,35;0,00;0,00;0,00;35000,0;0,00;2751,23;0,00;11111,96;0,00;0,00;0,00;0,00;0;0
