amicus;cutoffs_ALL;cutoffs_BREYER;cutoffs_GINSBURG;cutoffs_KENNEDY;cutoffs_ROBERTS;cutoffs_SCALIA;BREYER_res_questions;GINSBURG_res_questions;KENNEDY_res_questions;ROBERTS_res_questions;SCALIA_res_questions;BREYER_pet_questions;GINSBURG_pet_questions;KENNEDY_pet_questions;ROBERTS_pet_questions;SCALIA_pet_questions;BREYER_question_diff;GINSBURG_question_diff;KENNEDY_question_diff;ROBERTS_question_diff;SCALIA_question_diff;BREYER_cc_ratio_pet;GINSBURG_cc_ratio_pet;KENNEDY_cc_ratio_pet;ROBERTS_cc_ratio_pet;SCALIA_cc_ratio_pet;BREYER_cc_ratio_res;GINSBURG_cc_ratio_res;KENNEDY_cc_ratio_res;ROBERTS_cc_ratio_res;SCALIA_cc_ratio_res;BREYER_cc_ratio_diff;GINSBURG_cc_ratio_diff;KENNEDY_cc_ratio_diff;ROBERTS_cc_ratio_diff;SCALIA_cc_ratio_diff;BREYER_qc_ratio_diff;GINSBURG_qc_ratio_diff;KENNEDY_qc_ratio_diff;ROBERTS_qc_ratio_diff;SCALIA_qc_ratio_diff;BREYER_wc_ratio_diff;GINSBURG_wc_ratio_diff;KENNEDY_wc_ratio_diff;ROBERTS_wc_ratio_diff;SCALIA_wc_ratio_diff;caseOrigin_circuit;adminAction;adminActionState;lcDispositionDirection;lcDisposition;issueArea;certReason;jurisdiction;winner
-1;-4;0,333333333;-0,500000000;1,000000000;-0,272727273;0,058823529;0,1777777777777778;1,0000000000000000;0,4000000000000000;0,5000000000000000;0,3076923076923077;0,4000000000000000;0,2857142857142857;0,0000000000000000;0,2105263157894737;0,2941176470588235;1;-1;-1;-1;0;0,2500000000000000;0,8974358974358975;0,1666666666666667;0,5757575757575758;0,3953488372093023;0,7500000000000000;0,1025641025641026;0,8333333333333334;0,4242424242424243;0,6046511627906976;-1;1;-1;0;-1;0;1;-1;-1;-1;-1;1;-1;1;-1;2;1;0;2,0;2,0;2;2;1;0
1;-4;0,200000000;-0,555555556;0,333333333;0,333333333;-0,333333333;0,2352941176470588;0,2000000000000000;0,3888888888888889;0,1428571428571428;0,3823529411764706;0,4705882352941176;0,2500000000000000;0,2352941176470588;0,3333333333333333;0,3125000000000000;1;0;0;0;0;0,5000000000000000;0,8000000000000000;0,4857142857142857;0,6315789473684210;0,5853658536585366;0,5000000000000000;0,2000000000000000;0,5142857142857142;0,3684210526315789;0,4146341463414634;0;1;0;1;0;1;1;-1;1;0;-1;1;0;1;1;2;0;0;2,0;2,0;8;12;1;0
0;-4;-0,333333333;-0,818181818;0,454545455;-0,600000000;0,750000000;0,3636363636363637;0,6153846153846154;0,1176470588235294;0,1176470588235294;0,3076923076923077;0,1666666666666667;0,4210526315789473;0,5555555555555556;0,2173913043478261;0,2000000000000000;0;0;1;0;0;0,3529411764705883;0,7450980392156863;0,3461538461538461;0,5750000000000000;0,2777777777777778;0,6470588235294118;0,2549019607843137;0,6538461538461539;0,4250000000000000;0,7222222222222222;-1;1;-1;0;-1;-1;1;1;1;-1;0;1;-1;1;-1;0;0;0;2,0;2,0;8;12;1;0
-1;-4;-1,000000000;-0,200000000;0,384615385;0,833333333;-0,714285714;0,0000000000000000;0,5000000000000000;0,1578947368421052;0,3636363636363637;0,2800000000000000;0,3658536585365854;0,4166666666666667;0,2380952380952381;0,2500000000000000;0,4883720930232558;1;0;0;0;1;0,9111111111111112;0,8571428571428571;0,3559322033898305;0,1951219512195122;0,6323529411764706;0,0888888888888889;0,1428571428571428;0,6440677966101694;0,8048780487804879;0,3676470588235294;1;1;-1;-1;1;1;1;0;-1;1;1;1;-1;-1;0;7;1;0;2,0;8,0;2;11;1;0
0;-11;-0,142857143;0,000000000;-0,142857143;-0,250000000;0,090909091;0,3333333333333333;0,2857142857142857;0,2105263157894737;0,6111111111111112;0,1818181818181819;0,3000000000000000;0,5000000000000000;0,1875000000000000;0,2222222222222222;0,5000000000000000;0;1;0;-1;1;0,3571428571428572;0,5000000000000000;0,4571428571428571;0,6000000000000000;0,5000000000000000;0,6428571428571429;0,5000000000000000;0,5428571428571428;0,4000000000000000;0,5000000000000000;-1;0;0;0;0;-1;1;0;-1;1;-1;0;0;0;0;5;0;0;1,0;2,0;1;12;1;1
1;2;0,000000000;-0,666666667;-0,200000000;0,000000000;-0,500000000;0,0000000000000000;0,6666666666666666;0,7500000000000000;0,0000000000000000;0,4285714285714285;0,0000000000000000;0,4137931034482759;0,6666666666666666;0,0000000000000000;0,3461538461538461;0;-1;0;0;0;0,5000000000000000;0,9062500000000000;0,6000000000000000;0,5000000000000000;0,5531914893617021;0,5000000000000000;0,0937500000000000;0,4000000000000000;0,5000000000000000;0,4468085106382979;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;9;1;0;1,0;8,0;8;12;1;1
0;24;0,272727273;1,000000000;0,777777778;-1,000000000;0,750000000;0,2432432432432433;0,0625000000000000;0,2954545454545455;0,2500000000000000;0,1875000000000000;0,1562500000000000;0,2222222222222222;0,5238095238095238;0,4000000000000000;0,4166666666666667;0;0;1;0;1;0,4637681159420290;0,2195121951219512;0,3230769230769231;0,6521739130434783;0,2000000000000000;0,5362318840579711;0,7804878048780488;0,6769230769230770;0,3478260869565217;0,8000000000000000;0;-1;-1;1;-1;-1;0;0;1;-1;0;-1;-1;1;-1;0;1;1;1,0;2,0;10;11;1;1
1;1;0,714285714;-0,200000000;0,714285714;0,000000000;-0,250000000;0,2500000000000000;0,4117647058823529;0,2727272727272727;0,0000000000000000;0,3529411764705883;0,0000000000000000;0,1818181818181819;0,5000000000000000;0,0000000000000000;0,4761904761904762;-1;-1;1;0;0;0,1111111111111111;0,5641025641025641;0,3529411764705883;0,5000000000000000;0,5526315789473685;0,8888888888888888;0,4358974358974359;0,6470588235294118;0,5000000000000000;0,4473684210526316;-1;0;-1;0;0;-1;-1;0;0;1;-1;1;-1;0;0;2;0;0;2,0;5,0;10;-1;1;0
1;-3;0,000000000;0,333333333;-0,800000000;-0,600000000;0,000000000;0,0000000000000000;0,0666666666666667;1,0000000000000000;0,2500000000000000;0,0000000000000000;0,0000000000000000;0,2666666666666667;0,4736842105263158;0,1764705882352941;0,5000000000000000;0;0;-1;0;1;0,5000000000000000;0,5000000000000000;0,9500000000000000;0,8095238095238095;0,6666666666666666;0,5000000000000000;0,5000000000000000;0,0500000000000000;0,1904761904761905;0,3333333333333333;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;2;0;0;1,0;1,5;2;12;1;1
0;15;0,538461538;0,333333333;-0,200000000;0,333333333;0,076923077;0,2580645161290323;0,4166666666666667;0,1250000000000000;0,0909090909090909;0,1578947368421052;0,3000000000000000;0,6000000000000000;0,3125000000000000;0,4000000000000000;0,6000000000000000;0;0;0;1;1;0,2439024390243902;0,2941176470588235;0,6666666666666666;0,4054054054054054;0,4411764705882353;0,7560975609756098;0,7058823529411765;0,3333333333333333;0,5945945945945946;0,5588235294117647;-1;-1;1;0;0;-1;-1;1;1;1;-1;-1;1;-1;-1;9;0;0;1,0;2,0;1;2;1;1
